Rank,Country,Roadways (KM)
1,United States,6586610.00
2,India,4699024.00
3,China,4106387.00
4,Brazil,1580964.00
5,Russia,1283387.00
6,Japan,1218772.00
7,Canada,1042300.00
8,France,1028446.00
9,Australia,823217.00
10,South Africa,747014.00
11,Spain,683175.00
12,Germany,645000.00
13,Sweden,579564.00
14,Indonesia,496607.00
15,Italy,487700.00
16,Finland,454000.00
17,Poland,412035.00
18,United Kingdom,394428.00
19,Turkey,385754.00
20,Mexico,377660.00
21,Pakistan,263942.00
22,Argentina,231374.00
23,Saudi Arabia,221372.00
24,Philippines,216387.00
25,Colombia,204855.00
26,Hungary,203601.00
27,Iran,198866.00
28,Vietnam,195468.00
29,Nigeria,193200.00
30,Thailand,180053.00
31,Ukraine,169694.00
32,Kenya,160878.00
33,Belgium,154012.00
34,"Congo, Democratic Republic of the",153497.00
35,Malaysia,144403.00
36,Peru,140672.00
37,Netherlands,138641.00
38,Egypt,137430.00
39,Austria,133597.00
40,Czechia,130661.00
41,Greece,116960.00
42,Sri Lanka,114093.00
43,Algeria,113655.00
44,Ethiopia,110414.00
45,Ghana,109515.00
46,"Korea, South",104983.00
47,Libya,100024.00
48,Kazakhstan,97418.00
49,Zimbabwe,97267.00
50,Venezuela,96189.00
51,Ireland,96036.00
52,New Zealand,94902.00
53,Norway,93870.00
54,Uzbekistan,86496.00
55,Tanzania,86472.00
56,Belarus,86392.00
57,Romania,84185.00
58,Lithuania,84166.00
59,Portugal,82900.00
60,Cote d'Ivoire,81996.00
61,Bolivia,80488.00
62,Chile,77764.00
63,Uruguay,77732.00
64,Denmark,74497.00
65,Latvia,72440.00
66,Switzerland,71464.00
67,Yemen,71300.00
68,Syria,69873.00
69,Cuba,60858.00
70,Oman,60230.00
71,Iraq,59623.00
72,Turkmenistan,58592.00
73,Estonia,58412.00
74,Morocco,58395.00
75,Slovakia,54869.00
76,Azerbaijan,52942.00
77,Angola,51429.00
78,Cameroon,51350.00
79,Mongolia,49249.00
80,Cambodia,44709.00
81,Guinea,44348.00
82,Serbia,44248.00
83,Namibia,44138.00
84,Ecuador,43670.00
85,Taiwan,42520.00
86,Afghanistan,42150.00
87,Zambia,40454.00
88,Chad,40000.00
89,Laos,39586.00
90,Costa Rica,39018.00
91,Slovenia,38985.00
92,Madagascar,37476.00
93,Burma,34377.00
94,Kyrgyzstan,34000.00
95,Paraguay,32059.00
96,Mozambique,30331.00
97,Tajikistan,27767.00
98,Croatia,26958.00
99,Puerto Rico,26862.00
100,"Korea, North",25554.00
101,Nicaragua,23897.00
102,Bosnia and Herzegovina,22926.00
103,Mali,22474.00
104,Jamaica,22121.00
105,Somalia,22100.00
106,Bangladesh,21269.00
107,Central African Republic,20278.00
108,Cyprus,20006.00
109,Uganda,20000.00
110,Dominican Republic,19705.00
111,Bulgaria,19512.00
112,Tunisia,19418.00
113,Georgia,19109.00
114,Niger,18949.00
115,Israel,18566.00
116,Albania,18000.00
117,Botswana,17916.00
118,Guatemala,17332.00
119,"Congo, Republic of the",17000.00
120,Benin,16000.00
121,Malawi,15450.00
122,Burkina Faso,15272.00
123,Panama,15137.00
124,Senegal,15000.00
125,Honduras,14742.00
126,Macedonia,14182.00
127,Iceland,12890.00
128,Burundi,12322.00
129,Sudan,11900.00
130,Togo,11652.00
131,Sierra Leone,11300.00
132,Nepal,10844.00
133,Mauritania,10628.00
134,Liberia,10600.00
135,Bhutan,10578.00
136,Qatar,9830.00
137,Trinidad and Tobago,9592.00
138,Moldova,9352.00
139,Papua New Guinea,9349.00
140,Gabon,9170.00
141,Guyana,7970.00
142,Armenia,7792.00
143,Montenegro,7762.00
144,Jordan,7203.00
145,South Sudan,7000.00
146,Lebanon,6970.00
147,El Salvador,6918.00
148,Kuwait,6608.00
149,Timor-Leste,6040.00
150,Lesotho,5940.00
151,New Caledonia,5622.00
152,Rwanda,4700.00
153,West Bank,4686.00
154,Suriname,4304.00
155,Haiti,4266.00
156,Bahrain,4122.00
157,United Arab Emirates,4080.00
158,Eritrea,4010.00
159,"Gambia, The",3740.00
160,Swaziland,3594.00
161,Guinea-Bissau,3455.00
162,Fiji,3440.00
163,Singapore,3425.00
164,Malta,3096.00
165,Djibouti,3065.00
166,Brunei,3029.00
167,Luxembourg,2899.00
168,Equatorial Guinea,2880.00
169,Belize,2870.00
170,"Bahamas, The",2700.00
171,French Polynesia,2590.00
172,Samoa,2337.00
173,Mauritius,2149.00
174,Hong Kong,2100.00
175,Marshall Islands,2028.00
176,Kosovo,2003.00
177,Barbados,1600.00
178,Dominica,1512.00
179,Solomon Islands,1390.00
180,Cabo Verde,1350.00
181,Virgin Islands,1260.00
182,Saint Lucia,1210.00
183,Antigua and Barbuda,1170.00
184,Grenada,1127.00
185,Vanuatu,1070.00
186,Guam,1045.00
187,Faroe Islands,960.00
188,Comoros,880.00
189,Saint Vincent and the Grenadines,829.00
190,Cayman Islands,785.00
191,Tonga,680.00
192,Kiribati,670.00
193,Jersey,576.00
194,Curacao,550.00
195,Northern Mariana Islands,536.00
196,Seychelles,526.00
197,Isle of Man,500.00
198,Bermuda,447.00
199,Falkland Islands (Islas Malvinas),440.00
200,Macau,424.00
201,"Micronesia, Federated States of",388.00
202,Saint Kitts and Nevis,383.00
203,Liechtenstein,380.00
204,Cook Islands,320.00
205,Andorra,320.00
206,Sao Tome and Principe,320.00
207,San Marino,292.00
208,American Samoa,241.00
209,British Virgin Islands,200.00
210,"Saint Helena, Ascension, and Tristan da Cunha",198.00
211,Anguilla,175.00
212,Christmas Island,140.00
213,Turks and Caicos Islands,121.00
214,Niue,120.00
215,Saint Pierre and Miquelon,117.00
216,Maldives,88.00
217,Norfolk Island,80.00
218,Monaco,77.00
219,Sint Maarten,53.00
220,Nauru,30.00
221,Gibraltar,29.00
222,Cocos (Keeling) Islands,22.00
223,Tuvalu,8.00
